DATE,SITE_TYPE,SITE_NUMBER,SITE_ID,SPECIES_CODE,PERCENT_PLANT_IN_PLOT,CANOPY_DIA_1_CM,CANOPY_DIA_2_CM,PLANT_HT_CM,HT_TO_TALLEST_BUDSCAR_CM,GENUS
2018-06-20T00:00:00Z,WC,9,WC9,SAPL,10,35,10,80,75,willow
2018-06-20T00:00:00Z,WC,9,WC9,SAPL,90,85,70,105,100,willow
2018-06-20T00:00:00Z,WC,9,WC9,SAPL,100,100,55,105,100,willow
2018-06-20T00:00:00Z,WC,9,WC9,SAPL,100,45,30,130,115,willow
2018-06-20T00:00:00Z,WC,9,WC9,SAPL,5,50,25,110,100,willow
2018-06-20T00:00:00Z,WC,9,WC9,SAPL,5,170,110,255,240,willow
2018-06-20T00:00:00Z,WC,9,WC9,SAPL,5,55,30,60,60,willow
2018-06-20T00:00:00Z,WC,9,WC9,SAPL,5,40,20,65,60,willow
2018-06-20T00:00:00Z,WC,9,WC9,SAPL,50,70,50,85,80,willow
2018-06-20T00:00:00Z,WC,9,WC9,SAPL,5,215,155,245,230,willow
2018-06-20T00:00:00Z,WC,9,WC9,SAPL,5,25,25,60,50,willow
2018-06-20T00:00:00Z,WC,9,WC9,SAPL,80,85,65,115,95,willow
2018-06-20T00:00:00Z,WC,9,WC9,SAPL,30,70,30,90,75,willow
2018-06-20T00:00:00Z,WC,9,WC9,SAPL,90,245,200,270,240,willow
2018-06-20T00:00:00Z,WC,9,WC9,SAPL,95,140,60,100,95,willow
2018-06-20T00:00:00Z,WC,9,WC9,SAPL,100,70,40,100,90,willow
2018-06-20T00:00:00Z,WC,9,WC9,SAPL,70,45,40,120,105,willow
2018-06-20T00:00:00Z,WC,9,WC9,SAPL,100,25,25,210,200,willow
2018-06-20T00:00:00Z,WC,9,WC9,SAPL,100,155,85,220,210,willow
2018-06-20T00:00:00Z,WC,9,WC9,SAPL,100,40,25,275,265,willow
2018-06-20T00:00:00Z,WC,9,WC9,SAPL,100,160,75,210,200,willow
2018-06-20T00:00:00Z,WC,9,WC9,SAPL,100,45,40,180,175,willow
2018-06-20T00:00:00Z,WC,9,WC9,SAPL,50,40,35,260,250,willow
2018-06-20T00:00:00Z,WC,9,WC9,SAPL,75,130,15,160,155,willow
2018-07-19T00:00:00Z,WC,10,WC10,SAGE,100,115,110,280,265,willow
2018-07-19T00:00:00Z,WC,10,WC10,SAGE,5,65,35,100,90,willow
2018-07-19T00:00:00Z,WC,10,WC10,SAMO,90,245,220,290,275,willow
2018-07-19T00:00:00Z,WC,10,WC10,SAMO,40,85,65,205,185,willow
2018-07-19T00:00:00Z,WC,10,WC10,SAMO,40,415,385,345,330,willow
2018-07-19T00:00:00Z,WC,10,WC10,SAMO,100,70,55,205,190,willow
2018-07-19T00:00:00Z,WC,10,WC10,SAMO,100,110,80,240,220,willow
2018-07-19T00:00:00Z,WC,10,WC10,SAMO,100,125,60,155,145,willow
2018-07-19T00:00:00Z,WC,10,WC10,SAMO,90,155,145,210,190,willow
2018-07-19T00:00:00Z,WC,10,WC10,SAMO,30,205,110,220,210,willow
2018-07-19T00:00:00Z,WC,10,WC10,SAMO,25,125,105,250,220,willow
2018-07-19T00:00:00Z,WC,10,WC10,SAMO,5,355,210,310,290,willow
2018-07-19T00:00:00Z,WC,10,WC10,SAPL,100,30,20,65,50,willow
2018-07-19T00:00:00Z,WC,10,WC10,SAPL,90,95,60,130,115,willow
2018-07-19T00:00:00Z,WC,10,WC10,SAPL,25,75,50,145,130,willow
2018-07-19T00:00:00Z,WC,10,WC10,SAPL,100,70,35,130,120,willow
2018-07-19T00:00:00Z,WC,10,WC10,SAPL,100,240,120,270,260,willow
2018-07-19T00:00:00Z,WC,10,WC10,SAPL,40,325,200,300,270,willow
2018-07-19T00:00:00Z,WC,10,WC10,SAPL,35,80,65,190,175,willow
2018-07-19T00:00:00Z,WC,10,WC10,SAPL,100,60,35,260,225,willow
2018-07-19T00:00:00Z,WC,10,WC10,SAPL,95,260,180,290,275,willow
2018-07-19T00:00:00Z,WC,10,WC10,SAPL,100,315,310,300,290,willow
2018-07-19T00:00:00Z,WC,10,WC10,SAPL,50,70,50,280,265,willow
2018-06-14T00:00:00Z,WC,12,WC12,DAFR,100,30,15,25,20,nonwillow
2018-06-14T00:00:00Z,WC,12,WC12,DAFR,5,120,100,105,100,nonwillow
2018-06-14T00:00:00Z,WC,12,WC12,SAGE,20,410,390,260,255,willow
2018-06-14T00:00:00Z,WC,12,WC12,SAGE,100,70,35,110,95,willow
2018-06-14T00:00:00Z,WC,12,WC12,SAGE,100,140,110,170,150,willow
2018-06-14T00:00:00Z,WC,12,WC12,SAGE,95,150,115,160,150,willow
2018-06-14T00:00:00Z,WC,12,WC12,SAGE,95,280,265,250,235,willow
2018-06-14T00:00:00Z,WC,12,WC12,SAGE,100,35,25,65,50,willow
2018-06-14T00:00:00Z,WC,12,WC12,SAGE,5,165,135,115,95,willow
2018-06-14T00:00:00Z,WC,12,WC12,SAGE,50,75,25,105,80,willow
2018-06-14T00:00:00Z,WC,12,WC12,SAGE,15,95,65,145,125,willow
2018-06-14T00:00:00Z,WC,12,WC12,SAGE,50,130,60,135,130,willow
2018-06-14T00:00:00Z,WC,12,WC12,SAGE,100,50,25,60,50,willow
2018-06-14T00:00:00Z,WC,12,WC12,SAGE,100,50,25,55,45,willow
2018-06-14T00:00:00Z,WC,12,WC12,SAGE,100,30,15,70,0,willow
2018-06-14T00:00:00Z,WC,12,WC12,SAGE,100,105,90,125,120,willow
